ISSN,E-ISSN,Başlık
,"2148-967X","İş ve İnsan Dergisi"
,"1309-0712","İşletme Araştırmaları Dergisi"
,"2148-0737","İşletme Bilimi Dergisi"
,,"İşletme ve Ekonomi Araştırmaları Dergisi"
"1303-7005","1307-1645","İTÜ Dergisi Seri A: Mimarlık, Planlama, Tasarım"
"1303-7021","1307-1661","İTÜ Dergisi Seri C: Fen Bilimleri"
"1303-703X","1307-167X","İTÜ Dergisi Seri D: Mühendislik"
"1307-2021","1307-203X","İTÜ Dergisi Seri E: Su Kirlenmesi Kontrolü"
"1300-4107",,"İzmir Alsancak Devlet Hastanesi Tıp Dergisi"
"1301-479X",,"İzmir Atatürk Eğitim Hastanesi Tıp Dergisi"
"1305-757X",,"İZMİR BAROSU DERGİSİ"
"2146-2372","1309-9566","İzmir Dr. Behçet Uz Çocuk Hastanesi Dergisi"
"1305-5151","2148-6190","İzmir Eğitim ve Araştırma Hastanesi Tıp Dergisi"
"1300-4115",,"İzmir Göğüs Hastanesi Dergisi"
,"1308-8505","İzmir iktisat dergisi"
"2458-9799","2458-9799","İzmir Kâtip Çelebi üniversitesi sağlık bilimleri fakültesi dergisi"
"1305-7073","1305-7146","İzmir Tepecik Eğitim Hastanesi Dergisi"
"2146-6505","2147-1894","JAREM"
"2147-1339","2667-8519","Jeodezi ve jeoinformasyon dergisi (Online)"
"0259-1472",,"Jeofizik"
"1016-9172","2564-6753","Jeoloji Mühendisliği Dergisi"
,"2667-4238","Jeomorfolojik Araştırmalar Dergisi (Online)"
"1308-6715",,"Jinekoloji Obstetrik Pediatri ve Pediatrik Cerrahi Dergisi"
"1016-5126",,"Jinekoloji ve Obstetrik Derg."
,"2667-7849","Jinekoloji-Obstetrik ve Neonatoloji Tıp Dergisi"
"2687-4784","2687-4792","Joint diseases and related surgery"
,"2636-8579","Journal of  health sciences and medicine (Online)"
"2149-4983","2149-9306","Journal of Academic Research in Nursing"
,"2757-5195","Journal of advanced research in natural and applied sciences (Online)"
,"2717-7203","journal of advances in manufacturing engineering (Online)"
,"2548-1150","Journal of advances in vetbio science and techniques"
,"2757-6620","Journal of agricultural production (Online)"
"1300-6606",,"Journal of American Studies of Turkey"
,"2548-0006","JOURNAL OF ANATOLIAN ENVIRONMENTAL AND ANIMAL SCIENCES"
"1300-5464",,"Journal of Ankara Medical School"
,"2667-4734","Journal of Apitheraphy and Nature"
,"2687-5861","Journal of Applied and Theoretical Social Sciences"
"1307-1130","2146-0108","Journal of Applied Biological Sciences"
,"2149-0236","Journal of Aquaculture Engineering and Fisheries Research"
,"2587-1676","Journal of aviation (Online)"
,"2564-7288","Journal of Basic and Clinical Health Sciences"
,"2822-4469","Journal of Behçet Uz children's hospital (Online)"
"1303-3646","1306-0961","Journal of Cell and Molecular Biology"
,"1307-6183","Journal of Chemical Metrology"
,"2717-638X","Journal of childhood, education & society (Online)"
,"1309-2014","Journal of Clinical and Analytical Medicine"
,"1309-6621","Journal of Clinical and Experimental Investigations"
,"2619-9467","Journal of Clinical Obstetrics & Gynecology"
,"2980-2156","Journal of clinical practice and research"
"1308-5727","1308-5735","Journal of Clinical Research in Pediatric Endocrinology"
,"2148-2896","Journal of Computer and Education Research"
,"2630-5771","Journal of Construction Engineering, Management & Innovation (Online)"
,"2717-6428","Journal of critical and intensive care (Online)"
,"2980-0854","Journal of current hematology & oncology research"
,"2757-6329","Journal of Design for Resilience in Architecture and Planning"
,"2645-8772","Journal of Economy Culture and Society"
"2146-8249","2146-8249","Journal of Education and Future"
,"2757-9204","Journal of education and research in nursing (Online)"
,"2149-9934","Journal of Emergency Medicine Case Reports"
,"2651-5318","Journal of emerging economies and policy (Online)"
,"2548-0391","Journal of Engineering Technology and Applied Sciences"
,"2148-9386","Journal of Eta Maritime Science"
,"2148-8819","Journal of Exercise Therapy and Rehabilitation"
,"1309-5129","Journal of Experimental and Clinical Medicine"
,"1307-234X","Journal of FisheriesSciences.com"
,"2149-0473","Journal of Food and Health Science"
,"2619-9548","Journal of gastronomy, hospitality and travel (Online)"
,"2791-8246","Journal of happiness and health (Online)"
,"2687-2129","Journal of Innovations in Civil Engineering and Technology"
,"2602-4217","Journal of Innovative Science and Engineering (JISE)"
"2149-2352","2149-4592","Journal of Istanbul University Faculty of Dentistry"
,"2791-7630","Journal of innovative engineering and natural science (Online)"
,"2717-8889","Journal of innovative transportation (Online)"
,"1305-578X","Journal of Language and Linguistic Studies"
,"2602-4578","Journal of language research (Online)"
,"2458-8350","Journal of Learning and Teaching in Digital Age"
,"2149-4428","Journal of Limnology and Freshwater Fisheries Research"
,"2822-4779","Journal of literature and humanities"
"1018-5992",,"Journal of Marmara University Dental Faculty"
,"2717-8811","Journal of Materials and Mechatronics:A (Online)"
,"2636-8692","Journal of mathematical sciences and modelling (Online)"
,"3023-7793","Journal of medical education and family medicine"
"2146-3840",,"Journal of Medical Updates"
,"2717-7505","Journal of medicine and palliative care (Online)"
"2146-3158",,"Journal of Microbiology and Infectious Diseases"
"2146-1473","2146-2380","Journal of Mood Disorders"
"1309-047X","2619-9165","Journal of Mosaic Research"
,"2645-9078","Journal of multidisciplinary academic tourism"
,"3061-9939","Journal of naval architecture and marine technology"
"1304-2025",,"Journal of Naval Sciences and Engineering"
,"1302-1664","Journal of Neurological Sciences (Turkish)"
,"1304-7981","Journal of New Results in Science"
,"2149-1402","Journal of New Theory"
,"2822-2954","Journal of nursology (Online)"
"2651-4532",,"Journal of oncological sciences"
,"2587-0130","Journal of Positive Psychology and Wellbeing"
,"2717-7564","Journal of Positive School  Psychology (Online)"
,"2587-0483","Journal of Reconstructive Urology"
,"2630-6255","Journal of research in business (online)"
,"2630-6344","Journal of research in pharmacy (online)"
,"2667-6745","Journal of research in veterinary medicine (Online)"
,"2687-6167","Journal of scientific reports-A (Online)"
,"2630-5763","Journal of Structural Engineering & Applied Mechanics (Online)"
,"2458-973X","Journal of sustainable construction materials and technologies (Online)"
"1304-9550",,"Journal of the Black Sea/Mediterranean Environment"
"1302-0250","2651-3579","Journal of the Entomological Research Society"
,"2564-6907","Journal of the Turkish Chemical Society Section B: Chemical Engineering"
,"2149-0120","Journal of the Turkish Chemical Society, Section A: Chemistry"
,"2630-6433","Journal of the Turkish Operations Management (JTOM)"
"1309-0399","1309-0380","Journal of the Turkish-German Gynecological Association"
,"2148-7847","Journal of Thermal Engineering"
,"2147-8775","Journal of Tourism and Gastronomy Studies"
,"2687-3737","Journal of Tourism, Leisure and Hospitality"
,"2459-1939","Journal of Tourismology"
,"2459-1718","Journal of Transportation and Logistics"
"0378-8024",,"Journal of Turkish Phytopathology"
,"1304-6020","Journal of Turkish Science Education"
,"2147-5903","Journal of Turkish Spinal Surgery"
,"2667-4432","Journal of universal history studies (Online)"
,"3062-0392","Journal of updates in cardiovascular medicine"
,"2148-9580","Journal of Urological Surgery"
,"1305-970X","Journal of Yasar University"
"2149-4878","2149-6374","KADEM Kadın Araştırmaları Dergisi"
,"2602-2710","Kader"
,,"KADER Kelam Araştırmaları Dergisi"
"1300-7807",,"Kadın Araştırmaları Dergisi"
"1304-1002",,"Kadın Doğum Dergisi"
"1302-9916",,"Kadın/Woman 2000 - Kadın Araştırmaları Dergisi"
"2757-9395","2757-9476","Kadim"
"2147-9305",,"Kadir Has Üniversitesi Hukuk Fakültesi Dergisi"
,"2148-8940","KAFKAS EĞİTİM ARAŞTIRMALARI DERGİSİ"
"2146-2631","2587-053X","Kafkas Tıp Bilimleri Dergisi"
"1309-4289","2149-9136","KAFKAS ÜNİVERSİTESİ İKTİSADİ ve İDARİ BİLİMLER FAKÜLTESİ DERGİSİ"
,"2149-0643","Kafkas Üniversitesi Sosyal Bilimler Enstitüsü Dergisi"
"1300-6045","1309-2251","Kafkas Üniversitesi Veteriner Fakültesi Dergisi"
,"1309-1743","Kahramanmaraş Sütçü İmam Üniversitesi Doğa Bilimleri Dergisi"
"1301-2053",,"Kahramanmaraş Sütçü İmam Üniversitesi Fen ve Mühendislik Dergisi"
"1304-4524","2651-2637","Kahramanmaraş Sütçü İmam Üniversitesi İlahiyat Fakültesi Dergisi"
,"2149-2786","Kahramanmaraş Sütçü İmam Üniversitesi Sosyal Bilimler Dergisi"
,"2619-9149","Kahramanmaraş Sütçü İmam Üniversitesi Tarım ve Doğa Dergisi"
"2146-5606","2146-5606","Kalem Uluslararası Eğitim ve İnsan Bilimleri Dergisi"
"1302-2741","2148-4945","Kara Harp Okulu Bilim Dergisi"
"1300-9028",,"Karaca Arboretum"
,"2536-5126","Karadeniz Araştırmaları"
,"2564-7377","Karadeniz Fen Bilimleri Dergisi"
"2146-4642",,"Karadeniz İncelemeleri Dergisi"
,"2602-3407","Karadeniz Sosyal Bilimler Dergisi"
"2148-5011","2618-611X","KARADENİZ TEKNİK ÜNİVERSİTESİ İLAHİYAT FAKÜLTESİ DERGİSİ"
,"2146-3727","Karadeniz Teknik Üniversitesi Sosyal Bilimler Enstitüsü Sosyal Bilimler Dergisi","2146-3727","Karadeniz Teknik Üniversitesi Sosyal Bilimler Enstitüsü Sosyal Bilimler Dergisi"
,"3062-4126","Karadeniz Uluslararası Bilimsel Dergi"
"2146-4987","2146-7277","Karaelmas Fen ve Mühendislik Dergisi"
"1305-4716",,"Karamanoğlu Mehmetbey Üniversitesi İktisadi ve İdari Bilimler Fakültesi Dergisi"
,"2147-7833","Karamanoğlu Mehmetbey Üniversitesi Sosyal ve Ekonomik Araştırmalar Dergisi"
,"2149-4975","Kardiyovasküler Hemşirelik Dergisi"
"2458-7680","2458-9705","Karen- Karadeniz Araştırmaları Enstitüsü Dergisi"
"1302-485X",,"Kartal Eğitim ve Araştırma Hastanesi Tıp Dergisi"
,"2717-9540","Karya Journal of Health Science"
,"2147-9844","Kastamonu Eğitim Dergisi"
,"2667-727X","Kastamonu İletişim Araştırmaları Dergisi"
,"2757-9336","Kastamonu Medical Journal (KASMEJ)"
,"2147-6012","Kastamonu Üniversitesi İktisadi ve İdari Bilimleri Fakültesi Dergisi"
"1300-8811",,"Kastamonu Üniversitesi Kastamonu Eğitim Dergisi"
,"1309-4181","Kastamonu Üniversitesi Orman Fakültesi Dergisi"
"1300-3941",,"Kavak ve Hızlı Gelişen Orman Ağaçları Araşt. Enst. Müd. Kavakçılık Araştırma Dergisi"
"1300-395X",,"Kavak ve Hızlı Gelişen Tür Orman Ağaçları Araştırma Enstitüsü Teknik Bülten"
,"2645-8950","Kaygı. Uludağ Üniversitesi Fen-Edebiyat Fakültesi Felsefe Dergisi"
,"2687-5772","Kayseri üniversitesi sosyal bilimler dergisi (Online)"
"2148-3701",,"Kazancı Hukuk Araştırmaları Dergisi"
,"1303-3263","KBB-Forum"
"1300-2864",,"Kebikeç İnsan Bilimleri İçin Kaynak Araştırmaları Dergisi"
,"2146-9229","Kent Akademisi (Online)"
,"2757-9964","Kırıkkale Hukuk Mecmuası (Online)"
,"2148-9645","Kırıkkale Üniversitesi Tıp Fakültesi Dergisi"
,"2148-9327","Kilikya Felsefe Dergisi"
"2148-7634","2651-4087","Kilis 7 Aralık Üniversitesi İlahiyat Fakültesi Dergisi"
"1301-3068",,"Kimya Mühendisliği"
,"1309-1484","Klimik Dergisi"
"1301-4722",,"Klinik Laboratuvar Araştırma Derg."
"1302-0099","2146-7153","Klinik Psikiyatri Dergisi"
"1017-7833","1302-9657","Klinik Psikofarmakoloji Bülteni"
,"2602-4438","Klinik Psikoloji Dergisi"
"1300-0624",,"Klinik ve Deneysel Cerrahi Dergisi"
,"2667-484X","Kocaeli Journal of Science and Engineering"
,"2147-0758","Kocaeli Tıp Dergisi"
,"2636-8846","Kocaeli Üniversitesi Eğitim Dergisi (Online)"
"1301-8043","2980-2598","Kocaeli Üniversitesi Hukuk Fakültesi Dergisi"
,"2149-8571","Kocaeli Üniversitesi Sağlık Bilimleri Dergisi"
"1302-6658",,"Kocaeli Üniversitesi Sosyal Bilimler Dergisi (KOSBED)"
,"2757-8399","Kocatepe İslami İlimler Dergisi (Online)"
,"3061-9904","Kocatepe Tıp Dergisi"
"1308-1594","2147-6853","Kocatepe Veterinary Journal"
,"2618-5741","Koç Üniversitesi Hemşirelikte Eğitim ve Araştırma Dergisi"
"1300-6835",,"Kolon ve Rektum Hastalıkları Dergisi"
"2146-264X","2618-5695","Konservatoryum"
,"1309-3878","KONURALP TIP DERGİSİ"
,"2667-8055","Konya mühendislik bilimleri dergisi (Online)"
,"2687-5675","Korkut Ata Türkiyat Araştırmaları Dergisi (Online)"
,"2149-2980","Koşuyolu Heart Journal"
"1300-8706",,"Koşuyolu Kalp Dergisi"
,"1309-1751","KSÜ Mühendislik Bilimleri Dergisi"
"1303-6610",,"KSÜ Tıp Fakültesi Dergisi"
"1300-7475",,"Kulak Burun Boğaz İhtisas Dergisi"
"1302-8537",,"Kulak Burun Boğaz Klinikleri"
,"2587-0408","Kulak Burun Boğaz Uygulamaları"
,"2149-0880","Kulak Burun Boğaz ve Baş Boyun Cerrahisi"
"1303-0485","2148-7561","Kuram ve Uygulamada Eğitim Bilimleri"
"1300-4832",,"Kuram ve Uygulamada Eğitim Yönetimi"
,"1308-1659","Kuramsal Eğitimbilim Dergisi"
"1303-3387",,"Kutadgubilig: Felsefe Bilim Araştırmaları"
,"2717-7351","Külliye"
"1301-7241","2149-9098","Kültür ve İletişim"
,"2757-5667","KÜLTÜRK Türk Dili ve Edebiyatı Araştırmaları Dergisi Kültürk (Online)"
,"2791-8645","Laboratuvar Hayvanları Bilimi ve Uygulamaları dergisi (Online)"
"1016-877X","2667-4106","Lalahan Hayvancılık Araştırma Enstitüsü Dergisi"
,"2587-0610","Laparoscopic Endoscopic Surgical Science"
"1309-9485",,"Law and Justice Review"
,"2602-2443","Lectio socialis"
"1303-9210","2149-4231","Legal Hukuk Dergisi"
"1304-5962","2149-4223","Legal İş Hukuku ve Sosyal Güvenlik Hukuku Dergisi"
"1305-4074","2149-4185","Legal Mali Hukuk Dergisi"
"1300-8781",,"Liberal Düşünce"
"1304-0057","2602-2117","Litera: Dil, Edebiyat ve Kültür Araştırmaları Dergisi (Online)"
,"2630-5569","Literatür Eczacılık Bilimleri Dergisi"
,"3023-6452","LivenARCH+ Journal"
,"2757-8240","Livestock studies"
"2564-7245","2630-5704","Lojistik Dergisi"
,"1309-8004","Lokman Hekim Dergisi"
,"2791-7835","Lokman Hekim health sciences (Online)"
"1304-334X",,"Maden Tetkik ve Arama Dergisi"
"0024-9416",,"Madencilik Dergisi"
"1302-9487","2667-4297","Makina Tasarım ve Imalat Dergisi"
"1304-4141","1304-4141","Makine Teknolojileri Elektronik Dergisi (elektronik)"
"1303-5444",,"Mali Çözüm"
"1300-3623","2645-8780","Maliye Dergisi"
"1308-6014",,"MALİYE FİNANS YAZILARI"
"1303-5630",,"MALTEPE ÜNİVERSİTESİ HUKUK FAKÜLTESİ DERGİSİ"
,"1694-7932","Manas Journal of Agriculture Veterinary and Life Sciences"
,"1694-7398","Manas Journal of Engineering"
"1694-7215","1694-7215","Manas Journal of Social Studies"
,"1309-8918","Manisa Celal Bayar Üniversitesi Eğitim Fakültesi Dergisi"
,"2147-6845","MANTAR DERGİSİ"
,"2630-5550","Marife Dini Araştırmalar Dergisi"
"2757-752X","2791-707X","Marifetname"
,"2147-9666","Marine Science and Technology Bulletin"
,"1303-2429","MARMARA COĞRAFYA DERGİSİ"
"2146-5150",,"Marmara Fen Bilimleri Dergisi"
"1300-4050","2529-0053","Marmara İletişim Dergisi"
"1019-1941","1309-9469","Marmara Medical Journal"
,"1309-0801","Marmara Pharmaceutical Journal"
"2148-6743","2529-0045","Marmara Türkiyat Araştırmaları Dergisi"
"1300-8889","2147-5202","Marmara Üniversitesi Atatürk Eğitim Fakültesi Eğitim Bilimleri Dergisi"
"1302-2474",,"Marmara Üniversitesi Fen Bilimleri Enstitüsü Dergisi"
,"2529-0142","Marmara Üniversitesi Hukuk Fakültesi Hukuk Araştırmaları Dergisi"
"2149-1844","2587-2672","Marmara Üniversitesi İktisadi ve İdari Bilimler Dergisi"
"1302-4973",,"Marmara Üniversitesi İlahiyat Fakültesi Dergisi"
"2147-6934",,"Marmara Üniversitesi Siyasal Bilimler Dergisi"
,"2147-6926","Marmara Üniversitesi siyasal bilimler dergisi (online)"
"1300-686X",,"Mathematical and Computational Applications"
,"2791-8564","Mathematical Modelling and Numerical Simulation with Applications"
,"2147-6268","Mathematical Sciences and Applications E-Notes"
,"2148-5232","Mavi Atlas"
,"2149-9063","Meandros Medical And Dental Journal"
"1306-1224","2149-4215","Medenî Usûl ve İcra - İflâs Hukuku Dergisi"
"2149-2042","2149-4606","Medeniyet Medical Journal"
"1017-7698",,"Medical Journal of Ege University"
"1300-4743",,"Medical Network Klinik Bilimler Kadın Doğum"
"1300-4743",,"Medical Network Klinik Bilimler Pediatride Yönelişler"
"1300-4743",,"Medical Network Klinik Bilimler ve Doktor"
,"2687-4555","Medical records-international medical journal (Online)"
,"2147-0634","Medicine Science"
,"2528-9675","Mediterranean  Agricultural Sciences"
,"2147-673X","Mediterranean journal of infection, microbes & antimicrobials (Online)"
,"2791-7940","Mediterranean nursing and midwifery (Online)"
,"3023-8447","Mediterranean veterinary journal"
,"2636-8811","Medya ve Din Araştırmaları Dergisi (Online)"
,"1309-6915","Megaron"
,"2146-5983","Mehmet Akif Ersoy Üniversitesi Eğitim Fakültesi Dergisi"
,"1309-2243","Mehmet Akif Ersoy Üniversitesi Fen Bilimleri Enstitüsü Dergisi"
,"2149-1658","Mehmet Akif Ersoy Üniversitesi İktisadi ve İdari Bilimler Fakültesi Dergisi"
,"1309-1387","Mehmet Akif Ersoy Üniversitesi Sosyal Bilimler Enstitüsü Dergisi"
"2458-9268","2148-6239","Mehmet Akif Ersoy Üniversitesi Veteriner Fakültesi Dergisi"
,"3023-493X","Mekansal araştırmalar dergisi"
"1302-5821",,"Mellifera"
,"3062-3200","MEMBA Su Bilimleri Dergisi"
"1306-0945",,"Meme Sağlığı Dergisi"
"1306-8202",,"Memleket Siyaset Yönetim"
,"2667-8659","Menba Su Ürünleri Fakültesi dergisi (Online)"
,"1306-7850","Mersin Üniversitesi Eğitim Fakültesi Dergisi"
,"1308-0830","Mersin Üniversitesi Sağlık Bilimleri Dergisi"
"1300-4824",,"Metalurji"
,"2667-8772","Mevzu –Sosyal bilimler dergisi (Online)"
,"2148-8770","Meyve Bilimi/Fruit Science"
,"2618-6136","Middle East Journal of Science"
"0374-9096",,"Mikrobiyoloji Bülteni"
"1304-5482","2564-6478","Milel ve Nihal İnanç, Kültür ve Mitoloji Araştırmaları Dergisi"
"1308-0385",,"Milletlerarası Hukuk ve Milletlerarası Özel Hukuk Bülteni"
"1302-5600","2791-7657","Milli Eğitim"
"1300-3984","2146-8087","Milli Folklor Dergisi"
"2667-4459","2667-7911","Milliyetçilik araştırmaları dergisi (Online)"
,"2548-0170","Mimarlık Bilimleri ve Uygulamaları Dergisi"
"2149-9896","2636-8161","Mîzânül-Hak: İslami İlimler Dergisi"
"1300-4778",,"MN Kardiyoloji"
"1300-4786",,"MN Oftalmoloji"
,"2636-8625","Mobilya ve ahşap malzeme araştırmaları dergisi (Online)"
,"2791-6820","Modular journal"
"2146-1414","2147-1959","Molecular Imaging and Radionuclide Therapy"
,"2148-970X","Moment Dergi"
"1308-4445",,"Motif Akademi Halkbilimi Dergisi"
"1309-4815","2822-6852","MSGSÜ Sosyal Bilimler Dergisi"
,"2149-3596","Mugla Journal of Science and Technology"
,"2148-6999","Muğla Sıtkı Koçman Üniversitesi Eğitim Fakültesi Dergisi"
"2148-8118","2618-6020","Muğla Sıtkı Koçman Üniversitesi Tıp Dergisi"
"1304-8864",,"Muhafazakar Düşünce Dergisi"
,"2564-7164","Muhasebe Bilim Dünyası Dergisi"
"1307-6639",,"Muhasebe ve Denetime Bakış"
,"2146-3042","Muhasebe ve Finansman Dergisi"
"1304-0391",,"Muhasebe ve Finansman Dergisi (. e-Muhasebe ve Finansman Dergisi)"
,"2564-6591","Muhasebe ve Vergi Uygulamaları"
"1309-6087","2459-0711","Mukaddime"
,"2618-5652","Musicologist: An International Journal of Music Studies"
"1304-429X",,"Mustafa Kemal Üniversitesi Sosyal Bilimler Enstitüsü Dergisi"
,"2667-7733","Mustafa Kemal Üniversitesi Tarım Bilimleri Dergisi"
,"2149-3103","Mustafa Kemal Üniversitesi Tıp Dergisi"
"1300-9362",,"Mustafa Kemal Üniversitesi Ziraat Fakültesi Dergisi"
,"2149-6455","Muş Alparslan Üniversitesi Fen Bilimler Dergisi"
"1300-3402","2667-7520","Mühendis ve Makina"
"1300-7009",,"Mühendislik Bilimleri Dergisi"
,"2687-4415","Mühendislik bilimleri ve araştırmaları dergisi (Online)"
,"1308-6693","Mühendislik Bilimleri ve Tasarım Dergisi"
"1305-6859",,"Mühendislik Jeolojisi Bülteni"
"1305-9971",,"Mülkiye Dergisi"
"2148-5631","2148-8134","Mütefekkir"
,"2587-0262","Namık Kemal Tıp Dergisi"
"2148-8088","2547-9415","NAZARİYAT İslâm Felsefe ve Bilim Tarihi Araştırmaları Dergisi"
,"1307-6086","Necatibey Eğitim Fakültesi Elektronik Fen ve Matematik Eğitimi Dergisi"
,"2687-5535","Necmettin Erbakan Üniversitesi Diş Hekimliği dergisi (Online)"
,"2667-4076","Necmettin Erbakan Üniversitesi hukuk fakültesi dergisi"
"2757-9999","2822-468X","Nesir: edebiyat araştırmaları dergisi"
,"2147-6489","Nesne Dergisi"
,"2636-865X","Neurological sciences and neurophysiology (Online)"
,"2792-0070","Neuropsychiatric investigation (Online)"
,"2149-3871","Nevşehir Hacı Bektaş Veli Üniversitesi SBE Dergisi"
"2667-8993",,"Nicel bilimler dergisi (Online)"
,"2564-6605","Niğde Ömer Halisdemir Üniversitesi Mühendislik Bilimleri Dergisi"
,,"Niğde Üniversitesi Beden Eğitimi ve Spor Bilimleri Dergisi"
,,"Niğde Üniversitesi Mühendislik Bilimleri Dergisi"
"2147-5121","2717-7610","NİŞANTAŞI ÜNİVERSİTESİ SOSYAL BİLİMLER DERGİSİ"
,"2757-7724","Northwestern Medical Journal"
,"1307-4733","Novitas-Royal"
,"1309-4866","Nöropsikiyatri Arşivi"
"0259-6334",,"Nüfusbilim Dergisi"
"1303-0752",,"Nüsha"
,"2667-7059","OANNES - Uluslararası Eskiçağ Tarihi Araştırmaları Dergisi"
,"2980-0870","ODTÜ Gelişme Dergisi"
"0258-5316",,"ODTÜ Mimarlık Fakültesi Dergisi"
"1302-0382",,"Okmeydanı Tıp Dergisi"
,"2687-2749","Oksident"
,"2148-1512","Okuma yazma eğitimi araştırmaları (Online)"
"1301-7667",,"OLBA"
"2148-256X",,"Ombudsman Akademik"
"1302-4817",,"Ondokuz Mayıs Üniv. Diş Hekimliği Derg."
,"2548-0278","Ondokuz Mayıs Üniversitesi Eğitim Fakültesi Dergisi"
,"2587-1854","Ondokuz Mayıs Üniversitesi İlahiyat Fakültesi Dergisi"
"1300-2996",,"Ondokuz Mayıs Üniversitesi Tıp Dergisi"
"1300-2988",,"Ondokuz Mayıs Üniversitesi Ziraat Fakültesi Dergisi (. Anadolu Tarım Bilimleri Dergisi)"
,"2459-1467","Online Türk Sağlık Bilimleri Dergisi"
"1300-6193",,"Optimal Tıp Derg."
,"2148-4228","Optimum Ekonomi ve Yönetim Bilimleri Dergisi"
,"2791-9862","OPUS Toplum Araştırmaları Dergisi"
,"2528-9535","OPUS Uluslararası Toplum Araştırmaları Dergisi"
,"2146-6459","Ordu Üniversitesi Bilim ve Teknoloji Dergisi"
,"2667-6052","Ordu Üniversitesi Hemşirelik Çalışmaları Dergisi (Online)"
,"1309-9302","Ordu Üniversitesi Sosyal Bilimler Enstitüsü Sosyal Bilimler Araştırmaları Dergisi"
,"1307-6175","Organic Communications"
"2149-0783","2149-0775","Ormancılık Araştırma Dergisi"
"1306-682X",,"Orta Asya ve Kafkasya Araştırmaları"
"1306-682X",,"Orta Asya ve Kafkasya Araştırmaları Dergisi (OAKA)"
"0258-5316",,"Orta Doğu Teknik Üniversitesi Mimarlık Fakültesi Dergisi"
,"2667-4882","Ortaçağ Araştırmaları Dergisi"
"1309-1557","2687-430X","Ortadoğu Etütleri"
,"2548-0251","ORTADOĞU TIP DERGİSİ"
"1305-4953","2587-1579","Osmangazi Tıp Dergisi"
"1301-045X",,"Osmangazi Üniversitesi Mühendislik Mimarlık Fakültesi Dergisi"
,"2687-3729","Osmaniye Korkut Ata Üniversitesi Fen Bilimleri Enstitüsü Dergisi (Online)"
"0255-0636",,"Osmanlı Araştırmaları"
,"2458-7982","Osmanlı Bilimi Araştırmaları"
,"2458-9519","Osmanlı Medeniyeti Araştırmaları Dergisi"
,"2148-5704","Osmanlı Mirası Araştırmaları Dergisi"
"1019-469X",,"Osmanlı Tarihi Araştırma ve Uygulama Merkezi Dergisi OTAM"
"1300-9141",,"Osteoporoz Dünyasından"
"1300-2953",,"Ot Sistematik Botanik Dergisi"
"1302-0080",,"OTOSCOPE"
,"2822-3020","Overtones Ege journal of english studies (Online)"
,"2564-6931","Ömer Halisdemir Üniversitesi İktisadi ve İdari Bilimler Fakültesi Dergisi"
"1300-0845","1300-0845","ÖNERİ"
,"1309-0356","Pamukkale Spor Bilimleri Dergisi"
"1309-9833","1308-0865","Pamukkale Tıp Dergisi"
"1301-0085","1309-0275","Pamukkale Üniversitesi Eğitim Fakültesi Dergisi"
,"2148-4899","Pamukkale Üniversitesi İlahiyat Fakültesi Dergisi"
,"2147-5881","Pamukkale Üniversitesi Mühendislik Bilimleri Dergisi"
,"2147-6985","Pamukkale Üniversitesi Sosyal Bilimler Enstitüsü Dergisi"
"1300-8277",,"Pamukkale Üniversitesi Tıp Fakültesi Derg."
"1301-2581",,"Patoloji Bülteni"
,"2547-9601","Pazarlama ve Pazarlama Araştırmaları Dergisi"
,"2148-2969","Pediatric Urology Case Reports"
"1016-5142",,"Pediatrik Cerrahi Derg."
"2146-0655","2148-239X","Pegem Eğitim ve Öğretim Dergisi"
,"1973-4913","Pelviperineology (Online)"
"1300-1515",,"Pendik Veteriner Mikrobiyoloji Dergisi"
"1300-8641","2651-3315","Perceptions: Journal of International Affairs"
"1300-2791",,"Performans"
,"1305-3124","Perinatal journal (Online)"
"1300-5251","1305-3132","Perinatoloji Dergisi"
,"2980-1966","Pharmata"
,"2822-4507","PLANARCH - Design and planning research (Online)"
"1300-7319",,"PLANLAMA"
"1301-8779",,"Polis Bilimleri Dergisi"
,"2147-9429","Politeknik Dergisi"
,"2587-2567","Politik ekonomik kuram (Online)"
,"2791-7258","Poultry studies"
"1302-8618",,"Praksis"
,"2149-374X","Psikiyatri Hemşireliği Dergisi"
"1300-7378",,"Psikiyatri Psikoloji Psikofarmakoloji Dergisi"
"1309-0658","1309-0674","Psikiyatride Güncel Yaklaşımlar"
,"2602-2982","Psikoloji çalışmaları (Online)"
,"3061-998X","Psikolojik araştırma perspektifleri dergisi"
,"2636-834X","Psychiatry and behavioral sciences (Online)"
,"2475-0581","Psychiatry and clinical psychopharmacology (Online)"
"1301-3122",,"PTT Hastanesi Tıp Dergisi"
"2651-5377","2667-4114","Public and private international law bulletin"
"2687-2315","2757-7686","Recep Tayyip Erdoğan Üniversitesi Fen ve Mühendislik Bilimleri Dergisi"
"2147-0049","2147-2823","Recep Tayyip Erdoğan Üniversitesi İlahiyat Fakültesi Dergisi"
,"1307-6167","Records of Natural Products"
"2717-9842","2718-0344","Reflektif Sosyal Bilimler Dergisi"
"2146-6203","2687-1858","Regesta"
"1302-552X","2651-4990","Rekabet Dergisi"
,"2979-9686","Research in agricultural sciences"
,"2687-3907","Research in Sports Science (Online)"
,"2149-4088","Research on Engineering Structures and Materials"
,"2147-2475","Respiratory Case Reports"
,"2717-7149","Retina-Vitreus"
